-12.24,134.556,333.0,2018-09-22 00:00:00,09/22/18 - 333.0 - D
-12.46,135.807,325.7,2018-09-22 00:00:00,09/22/18 - 325.7 - D
-12.462,135.819,356.3,2018-09-22 00:00:00,09/22/18 - 356.3 - D
-12.271,134.599,323.3,2018-09-22 00:00:00,09/22/18 - 323.3 - D
-12.474,135.83,324.6,2018-09-22 00:00:00,09/22/18 - 324.6 - D
-12.421,135.436,334.9,2018-09-22 00:00:00,09/22/18 - 334.9 - D
-12.423,135.45,332.2,2018-09-22 00:00:00,09/22/18 - 332.2 - D
-12.429,135.421,331.3,2018-09-22 00:00:00,09/22/18 - 331.3 - D
-12.432,135.434,333.3,2018-09-22 00:00:00,09/22/18 - 333.3 - D
-12.362,134.941,361.2,2018-09-22 00:00:00,09/22/18 - 361.2 - D
-12.365,134.955,346.2,2018-09-22 00:00:00,09/22/18 - 346.2 - D
-12.373,134.939,341.0,2018-09-22 00:00:00,09/22/18 - 341.0 - D
-12.376,134.954,342.3,2018-09-22 00:00:00,09/22/18 - 342.3 - D
-12.336,134.636,328.2,2018-09-22 00:00:00,09/22/18 - 328.2 - D
-12.344,134.628,326.0,2018-09-22 00:00:00,09/22/18 - 326.0 - D
-12.622,136.24,333.1,2018-09-22 00:00:00,09/22/18 - 333.1 - D
-12.6,135.842,326.3,2018-09-22 00:00:00,09/22/18 - 326.3 - D
-12.602,135.854,330.1,2018-09-22 00:00:00,09/22/18 - 330.1 - D
-12.611,135.84,327.7,2018-09-22 00:00:00,09/22/18 - 327.7 - D
-12.613,135.852,336.8,2018-09-22 00:00:00,09/22/18 - 336.8 - D
-12.625,135.863,348.2,2018-09-22 00:00:00,09/22/18 - 348.2 - D
-12.627,135.876,358.3,2018-09-22 00:00:00,09/22/18 - 358.3 - D
-12.638,135.874,352.0,2018-09-22 00:00:00,09/22/18 - 352.0 - D
-12.695,136.24,332.5,2018-09-22 00:00:00,09/22/18 - 332.5 - D
-12.697,136.252,326.2,2018-09-22 00:00:00,09/22/18 - 326.2 - D
-12.633,135.869,367.9,2018-09-22 00:00:00,09/22/18 - 367.9 - D
-12.635,135.882,336.2,2018-09-22 00:00:00,09/22/18 - 336.2 - D
-12.695,136.247,329.6,2018-09-22 00:00:00,09/22/18 - 329.6 - D
-12.656,135.878,331.8,2018-09-22 00:00:00,09/22/18 - 331.8 - D
-12.658,135.891,343.9,2018-09-22 00:00:00,09/22/18 - 343.9 - D
-12.432,134.247,325.6,2018-09-22 00:00:00,09/22/18 - 325.6 - D
-12.626,135.431,328.5,2018-09-22 00:00:00,09/22/18 - 328.5 - D
-12.629,135.444,354.9,2018-09-22 00:00:00,09/22/18 - 354.9 - D
-12.641,135.456,347.3,2018-09-22 00:00:00,09/22/18 - 347.3 - D
-12.644,135.469,337.4,2018-09-22 00:00:00,09/22/18 - 337.4 - D
-12.646,135.483,328.9,2018-09-22 00:00:00,09/22/18 - 328.9 - D
-12.658,135.494,345.8,2018-09-22 00:00:00,09/22/18 - 345.8 - D
-12.661,135.507,330.5,2018-09-22 00:00:00,09/22/18 - 330.5 - D
-12.662,135.487,328.7,2018-09-22 00:00:00,09/22/18 - 328.7 - D
-12.664,135.5,339.8,2018-09-22 00:00:00,09/22/18 - 339.8 - D
-12.728,135.821,345.5,2018-09-22 00:00:00,09/22/18 - 345.5 - D
-12.73,135.834,332.0,2018-09-22 00:00:00,09/22/18 - 332.0 - D
-13.824,143.123,320.3,2018-09-22 00:00:00,09/22/18 - 320.3 - D
-12.239,132.642,320.5,2018-09-22 00:00:00,09/22/18 - 320.5 - D
-12.243,132.664,330.8,2018-09-22 00:00:00,09/22/18 - 330.8 - D
-12.59,134.308,324.5,2018-09-22 00:00:00,09/22/18 - 324.5 - D
-12.825,135.721,329.4,2018-09-22 00:00:00,09/22/18 - 329.4 - D
-12.728,135.061,328.3,2018-09-22 00:00:00,09/22/18 - 328.3 - D
-12.928,136.292,330.8,2018-09-22 00:00:00,09/22/18 - 330.8 - D
-12.739,135.059,331.5,2018-09-22 00:00:00,09/22/18 - 331.5 - D
-12.64,134.316,328.5,2018-09-22 00:00:00,09/22/18 - 328.5 - D
-12.938,136.157,371.6,2018-09-22 00:00:00,09/22/18 - 371.6 - D
-12.94,136.169,338.6,2018-09-22 00:00:00,09/22/18 - 338.6 - D
-12.948,136.156,340.3,2018-09-22 00:00:00,09/22/18 - 340.3 - D
-12.95,136.168,363.3,2018-09-22 00:00:00,09/22/18 - 363.3 - D
-12.952,136.179,333.2,2018-09-22 00:00:00,09/22/18 - 333.2 - D
-12.792,135.108,328.5,2018-09-22 00:00:00,09/22/18 - 328.5 - D
-12.96,136.166,355.4,2018-09-22 00:00:00,09/22/18 - 355.4 - D
-12.962,136.178,345.6,2018-09-22 00:00:00,09/22/18 - 345.6 - D
-12.647,134.308,324.9,2018-09-22 00:00:00,09/22/18 - 324.9 - D
-12.957,136.16,341.6,2018-09-22 00:00:00,09/22/18 - 341.6 - D
-12.959,136.172,359.1,2018-09-22 00:00:00,09/22/18 - 359.1 - D
-12.961,136.184,325.9,2018-09-22 00:00:00,09/22/18 - 325.9 - D
-12.795,135.115,330.6,2018-09-22 00:00:00,09/22/18 - 330.6 - D
-12.806,135.113,336.4,2018-09-22 00:00:00,09/22/18 - 336.4 - D
-12.808,135.127,332.9,2018-09-22 00:00:00,09/22/18 - 332.9 - D
-12.813,135.156,374.5,2018-09-22 00:00:00,09/22/18 - 374.5 - D
-12.815,135.17,345.6,2018-09-22 00:00:00,09/22/18 - 345.6 - D
-12.982,136.18,363.0,2018-09-22 00:00:00,09/22/18 - 363.0 - D
-12.983,136.192,340.9,2018-09-22 00:00:00,09/22/18 - 340.9 - D
-12.665,134.205,320.9,2018-09-22 00:00:00,09/22/18 - 320.9 - D
-12.668,134.222,323.7,2018-09-22 00:00:00,09/22/18 - 323.7 - D
